,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
32,0.2732,2017-09-18 08:03:41+00:00,0.0,0.9,0.1,CNN,"Here’s a rare look at Mount Paektu, a site sacred to North Koreans, as well as their neighbors to the south… https://t.co/fo7DfA8WFD",33
33,0.0,2017-09-18 07:44:06+00:00,0.0,1.0,0.0,CNN,What are ‘sponge cities’? They may just be China’s answer to flooding in urban areas https://t.co/T8cVmCod0m https://t.co/MDjtKiMqx1,34
34,0.681,2017-09-18 07:29:03+00:00,0.0,0.763,0.237,CNN,"Looking for a place where you can relax? These are the world's 10 least stressful cities, according to a new study… https://t.co/fUZerPBtFa",35
35,-0.25,2017-09-18 07:19:02+00:00,0.133,0.867,0.0,CNN,Hillary Clinton rails on Facebook for its role in spreading Russian propaganda https://t.co/vWIelgcGxP https://t.co/UzxmzXIkOH,36
36,0.0,2017-09-18 07:10:43+00:00,0.0,1.0,0.0,CNN,We asked the stars at the #Emmys: What show are you binging right now? https://t.co/3TWD9DdsVI https://t.co/rAmHXLxDLl,37
37,0.0,2017-09-18 06:59:05+00:00,0.0,1.0,0.0,CNN,This company is turning football helmet design on its head https://t.co/sFrBH9vLPf https://t.co/4iRrbNOkDt,38
38,-0.6705,2017-09-18 06:49:05+00:00,0.256,0.744,0.0,CNN,7 arrested in connection with a fire at a school in Malaysia's capital that claimed the lives of 21 students… https://t.co/vshCTbKycs,39
39,0.4767,2017-09-18 06:39:04+00:00,0.0,0.78,0.22,CNN,Here's the complete list of winners at the 2017 #Emmys https://t.co/Ku4R4pd3Qf https://t.co/hliio6Z65i,40
40,-0.836,2017-09-18 06:29:06+00:00,0.56,0.44,0.0,CNN,Georgia Tech police fatally shoot student after knife confrontation https://t.co/kgXGtBapz6,41
41,0.1779,2017-09-18 06:19:08+00:00,0.0,0.918,0.082,CNN,Hundreds of thousands of Rohingya fled to Bangladesh to escape bloodshed in Myanmar. These are some of their storie… https://t.co/zmdteSPOee,42
42,-0.6249,2017-09-18 06:09:00+00:00,0.272,0.628,0.1,CNN,London commuters begin week with heavy security on transport routes after the #ParsonsGreen terror attack last week https://t.co/SYljWbVg3a,43
43,0.128,2017-09-18 05:55:05+00:00,0.0,0.914,0.086,CNN,"Opponents of Australian same-sex marriage launched their ""no"" campaign, taking their message to skies over Sydney… https://t.co/SGaOuIuuqi",44
44,-0.128,2017-09-18 05:45:05+00:00,0.086,0.914,0.0,CNN,Iran and North Korea are expected to dominate US President Trump's first UN General Assembly https://t.co/MCWQridCoj https://t.co/7C9sKYU7t1,45
45,0.0,2017-09-18 05:37:18+00:00,0.0,1.0,0.0,CNN,"It takes 300 people, 12,000 parts and a year to make a single Steinway &amp; Sons piano. Here’s how the pianos are made… https://t.co/drstsryRUg",46
